ano,mes,data,regiao,uf,cidade,canal_venda,categoria,produto,quantidade,preco_unitario,faturamento,custo,lucro,prazo_entrega,avaliacao_cliente
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Aplicativo,Eletrônicos,Produto C,8,1378.03,11024.26,6082.27,3983.65,14.8,3.32
2015,2,2015-02-01,Nordeste,PE,Recife,Marketplace,Livros,Produto C,12,2352.41,28228.87,18415.97,10794.33,7.9,4.11
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,Site próprio,Beleza,Produto A,25,803.26,20081.57,12200.83,5656.31,4.0,3.95
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Site próprio,Livros,Produto D,10,2204.15,22041.53,17333.74,6405.05,5.8,4.55
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Marketplace,Beleza,Produto D,14,723.15,10124.13,6860.25,4542.49,8.3,3.4
2015,2,2015-02-01,Nordeste,MA,São Luís,Aplicativo,Livros,Produto D,13,1255.83,16325.81,11462.59,5944.25,12.4,2.81
2015,2,2015-02-01,Nordeste,PB,João Pessoa,Marketplace,Eletrônicos,Produto C,9,2077.58,18698.2,11094.65,7581.94,7.4,2.81
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,Marketplace,Moda,Produto A,19,1608.28,30557.34,22627.27,10618.15,7.1,4.74
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,Aplicativo,Eletrônicos,Produto A,3,2435.31,7305.92,4878.03,2629.51,2.3,4.0
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,Marketplace,Moda,Produto B,28,1646.97,46115.13,33271.14,20480.63,9.5,3.14
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,Marketplace,Eletrônicos,Produto A,29,78.93,2288.99,1321.85,584.03,3.7,3.57
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Site próprio,Eletrônicos,Produto C,27,581.1,15689.57,9496.11,4668.3,5.4,3.06
2015,2,2015-02-01,Sudeste,SP,São Paulo,Aplicativo,Casa,Produto D,19,1268.08,24093.54,18766.49,5006.24,3.0,3.35
2015,2,2015-02-01,Sudeste,SP,Campinas,Marketplace,Beleza,Produto D,19,1514.3,28771.7,17261.02,7416.0,14.2,3.84
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,Marketplace,Livros,Produto B,25,219.46,5486.5,3484.26,2256.96,5.7,4.85
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Site próprio,Esporte,Produto B,27,93.68,2529.24,1834.01,634.95,11.5,3.19
2015,2,2015-02-01,Sudeste,RJ,Niterói,Aplicativo,Esporte,Produto B,29,1831.8,53122.22,37959.08,20214.57,11.6,2.71
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,Site próprio,Beleza,Produto D,25,411.79,10294.77,8043.34,3489.27,12.8,4.54
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,Site próprio,Casa,Produto D,6,1007.31,6043.85,3582.18,1481.58,10.3,3.01
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Site próprio,Esporte,Produto D,29,1864.06,54057.6,38596.28,23439.28,5.3,3.83
2015,2,2015-02-01,Sudeste,MG,Uberlândia,Site próprio,Eletrônicos,Produto C,21,324.84,6821.64,3964.68,1645.28,12.0,3.42
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,Aplicativo,Beleza,Produto B,13,1877.87,24412.3,14325.59,7795.39,11.2,4.52
2015,2,2015-02-01,Sudeste,ES,Vitória,Site próprio,Casa,Produto C,27,350.26,9457.05,6538.32,2544.36,4.9,2.52
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Site próprio,Casa,Produto C,11,1349.77,14847.49,9195.36,3127.29,8.2,2.97
2015,2,2015-02-01,Sudeste,ES,Serra,Marketplace,Beleza,Produto A,24,215.08,5161.86,3796.6,1825.03,5.2,4.46
2015,2,2015-02-01,Sul,PR,Curitiba,Site próprio,Beleza,Produto B,11,2041.35,22454.9,13135.85,8660.73,4.5,3.06
2015,2,2015-02-01,Sul,PR,Londrina,Site próprio,Esporte,Produto C,15,1120.2,16803.04,9733.14,4809.04,12.2,4.26
2015,2,2015-02-01,Sul,SC,Florianópolis,Site próprio,Beleza,Produto A,21,824.49,17314.25,9637.64,3999.57,13.7,2.7
2015,2,2015-02-01,Sul,SC,Joinville,Marketplace,Beleza,Produto C,21,1427.75,29982.67,22519.3,10436.03,5.9,3.33
2015,2,2015-02-01,Sul,RS,Porto Alegre,Site próprio,Eletrônicos,Produto C,3,1193.25,3579.74,2724.05,914.5,4.9,3.14
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Aplicativo,Esporte,Produto B,29,2060.97,59768.09,44756.04,11006.67,3.8,3.08
2015,3,2015-03-01,Norte,AM,Manaus,Marketplace,Beleza,Produto A,3,1214.14,3642.41,2400.91,698.76,12.8,3.9
2015,3,2015-03-01,Norte,PA,Belém,Aplicativo,Beleza,Produto B,4,1665.52,6662.08,4318.26,1955.41,13.2,4.9
2015,3,2015-03-01,Norte,PA,Santarém,Site próprio,Beleza,Produto A,27,2340.82,63202.01,48867.66,25499.32,14.3,4.62
2015,3,2015-03-01,Norte,RO,Porto Velho,Site próprio,Casa,Produto C,9,1816.99,16352.95,11328.79,5890.23,11.9,2.71
2015,3,2015-03-01,Norte,TO,Palmas,Site próprio,Casa,Produto A,6,1708.3,10249.81,6561.26,4513.75,3.4,2.87
2015,3,2015-03-01,Nordeste,BA,Salvador,Aplicativo,Beleza,Produto C,18,553.85,9969.35,7352.82,2376.71,3.8,3.67
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Site próprio,Eletrônicos,Produto B,29,2161.04,62670.29,36623.75,22193.65,4.1,4.86
2015,3,2015-03-01,Nordeste,PE,Recife,Site próprio,Livros,Produto D,15,2133.98,32009.72,20029.29,7347.13,2.5,3.76
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,Marketplace,Livros,Produto B,16,2221.6,35545.54,28827.78,10770.66,11.2,4.16
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Aplicativo,Moda,Produto D,24,1835.67,44056.09,26898.9,11482.29,14.7,3.71
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Site próprio,Beleza,Produto A,23,1426.31,32805.09,23036.07,12763.71,2.1,3.56
2015,3,2015-03-01,Nordeste,MA,São Luís,Marketplace,Beleza,Produto D,27,1937.55,52313.98,29087.88,16754.79,11.9,3.8
2015,3,2015-03-01,Nordeste,PB,João Pessoa,Site próprio,Livros,Produto B,25,424.84,10620.96,8571.64,3421.24,14.4,2.52
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,Aplicativo,Moda,Produto D,17,1538.77,26159.03,17775.92,7790.9,10.3,4.92
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,Site próprio,Casa,Produto C,21,1363.04,28623.91,21047.38,5425.01,5.5,3.83
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,Site próprio,Livros,Produto A,22,1929.87,42457.22,30266.36,16721.55,7.2,2.63
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,Aplicativo,Esporte,Produto A,3,1283.92,3851.75,3034.04,863.18,10.1,2.86
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Marketplace,Eletrônicos,Produto B,4,2110.15,8440.61,5553.27,1554.03,8.4,3.25
2015,3,2015-03-01,Sudeste,SP,São Paulo,Marketplace,Beleza,Produto A,10,918.49,9184.94,6530.73,3043.09,3.1,4.43
2015,3,2015-03-01,Sudeste,SP,Campinas,Aplicativo,Eletrônicos,Produto A,28,2083.02,58324.54,41797.17,11699.95,7.5,2.79
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,Site próprio,Beleza,Produto D,2,1178.76,2357.52,1693.52,603.82,4.9,4.52
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,Marketplace,Beleza,Produto C,15,1978.13,29671.93,24004.92,9981.97,8.3,3.32
2015,3,2015-03-01,Sudeste,RJ,Niterói,Site próprio,Beleza,Produto A,29,786.76,22816.1,16521.87,5583.43,3.4,2.63
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,Marketplace,Esporte,Produto B,19,1130.69,21483.03,13025.63,4780.87,11.7,4.36
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,Marketplace,Livros,Produto B,29,2032.56,58944.36,41132.73,12556.06,6.0,2.69
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Site próprio,Beleza,Produto B,20,1327.53,26550.55,17033.52,9149.34,13.9,3.33
2015,3,2015-03-01,Sudeste,MG,Uberlândia,Marketplace,Esporte,Produto B,6,1348.76,8092.56,6012.47,2409.99,9.6,3.06
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Aplicativo,Livros,Produto D,4,2476.46,9905.85,6989.7,2587.18,10.9,4.72
2015,3,2015-03-01,Sudeste,ES,Vitória,Site próprio,Esporte,Produto C,12,829.57,9954.8,6936.71,1941.13,13.0,4.4
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Marketplace,Moda,Produto A,23,2041.43,46952.88,26842.27,19554.59,11.0,3.52
2015,3,2015-03-01,Sudeste,ES,Serra,Aplicativo,Esporte,Produto B,5,962.76,4813.82,2778.87,1044.3,11.2,4.69
2015,3,2015-03-01,Sul,PR,Curitiba,Site próprio,Esporte,Produto C,23,2446.74,56275.1,43715.55,12954.13,4.8,2.97
2015,3,2015-03-01,Sul,PR,Londrina,Aplicativo,Livros,Produto A,7,2053.36,14373.55,8703.5,3484.35,12.8,2.88
2015,3,2015-03-01,Sul,SC,Florianópolis,Marketplace,Esporte,Produto A,2,1196.69,2393.39,1518.23,652.83,7.8,2.91
2015,3,2015-03-01,Sul,SC,Joinville,Site próprio,Esporte,Produto C,19,1062.71,20191.47,12030.27,6083.51,9.5,3.89
2015,3,2015-03-01,Sul,RS,Porto Alegre,Aplicativo,Casa,Produto A,11,491.56,5407.11,4125.1,2177.66,4.8,4.6
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Site próprio,Eletrônicos,Produto A,10,1802.67,18026.68,13412.83,4325.82,6.5,3.84
2015,4,2015-04-01,Norte,AM,Manaus,Site próprio,Casa,Produto D,6,2158.3,12949.81,9574.54,4822.64,5.7,3.02
2015,4,2015-04-01,Norte,PA,Belém,Aplicativo,Eletrônicos,Produto D,21,1568.4,32936.49,24644.6,11455.91,4.4,4.54
2015,4,2015-04-01,Norte,PA,Santarém,Aplicativo,Livros,Produto C,1,1689.12,1689.12,1331.09,466.17,2.5,3.21
2015,4,2015-04-01,Norte,RO,Porto Velho,Marketplace,Esporte,Produto C,12,1575.8,18909.66,14523.88,6806.46,9.5,3.13
2015,4,2015-04-01,Norte,TO,Palmas,Marketplace,Livros,Produto A,17,348.34,5921.83,4351.9,1269.04,3.3,3.66
2015,4,2015-04-01,Nordeste,BA,Salvador,Site próprio,Moda,Produto C,8,2000.06,16000.46,8892.88,3099.41,9.2,4.35
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Site próprio,Moda,Produto B,5,337.81,1689.06,1296.76,663.52,4.1,3.24
2015,4,2015-04-01,Nordeste,PE,Recife,Aplicativo,Eletrônicos,Produto B,21,1317.77,27673.1,19833.67,5300.7,14.4,3.52
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,Aplicativo,Eletrônicos,Produto A,5,1662.87,8314.34,5248.44,2396.55,5.7,4.76
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Site próprio,Eletrônicos,Produto B,19,1994.96,37904.33,21334.47,8569.22,12.5,4.73
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Marketplace,Casa,Produto C,29,2473.31,71725.93,45831.6,26491.34,6.3,2.54
2015,4,2015-04-01,Nordeste,MA,São Luís,Marketplace,Livros,Produto C,11,399.0,4389.0,2977.8,1938.75,4.1,4.38
2015,4,2015-04-01,Nordeste,PB,João Pessoa,Aplicativo,Casa,Produto B,21,2302.66,48355.84,37461.44,20114.12,7.4,3.47
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,Site próprio,Esporte,Produto D,25,668.99,16724.79,9513.36,6316.32,6.8,4.64
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,Marketplace,Moda,Produto D,18,180.52,3249.37,2324.67,1072.5,9.2,3.65
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,Marketplace,Livros,Produto A,12,656.31,7875.73,6141.02,3192.59,12.2,3.65
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,Site próprio,Esporte,Produto C,1,782.33,782.33,515.48,275.42,9.7,4.3
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Site próprio,Moda,Produto D,21,1306.78,27442.42,21872.17,5862.83,7.4,3.64
2015,4,2015-04-01,Sudeste,SP,São Paulo,Site próprio,Livros,Produto D,20,1792.11,35842.17,25829.47,10024.22,6.9,4.3
2015,4,2015-04-01,Sudeste,SP,Campinas,Marketplace,Moda,Produto B,21,2289.98,48089.6,36679.96,12366.16,2.8,4.69
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,Marketplace,Beleza,Produto C,20,556.49,11129.7,8742.43,4548.56,10.7,3.17
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Marketplace,Livros,Produto B,7,659.17,4614.16,2741.25,1829.18,2.5,4.32
2015,4,2015-04-01,Sudeste,RJ,Niterói,Site próprio,Livros,Produto B,1,2356.08,2356.08,1320.01,837.1,7.8,3.4
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,Site próprio,Casa,Produto C,4,991.84,3967.38,3000.35,769.17,13.5,3.81
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,Marketplace,Beleza,Produto A,25,1039.06,25976.58,16143.46,11141.51,5.2,4.49
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Marketplace,Moda,Produto C,22,1766.35,38859.7,31583.31,8973.4,11.5,4.66
2015,4,2015-04-01,Sudeste,MG,Uberlândia,Marketplace,Casa,Produto A,26,163.78,4258.29,3303.62,966.86,12.2,4.96
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,Marketplace,Casa,Produto A,23,1326.97,30520.39,16874.66,6953.85,11.9,4.32
2015,4,2015-04-01,Sudeste,ES,Vitória,Aplicativo,Casa,Produto A,4,215.87,863.49,527.02,277.81,11.2,4.29
2015,4,2015-04-01,Sudeste,ES,Vila Velha,Aplicativo,Esporte,Produto D,27,2180.89,58884.05,42127.03,26278.62,4.7,2.9
2015,4,2015-04-01,Sudeste,ES,Serra,Site próprio,Eletrônicos,Produto C,16,626.32,10021.07,7645.07,4452.29,9.5,3.92
2015,4,2015-04-01,Sul,PR,Curitiba,Aplicativo,Beleza,Produto D,22,1642.56,36136.23,20490.77,13523.22,9.0,3.72
2015,4,2015-04-01,Sul,PR,Londrina,Site próprio,Moda,Produto C,4,1440.01,5760.04,4178.6,1770.4,12.5,4.59
2015,4,2015-04-01,Sul,SC,Florianópolis,Site próprio,Beleza,Produto A,27,1427.95,38554.67,31224.85,12602.24,3.1,4.05
2015,4,2015-04-01,Sul,SC,Joinville,Site próprio,Beleza,Produto D,18,2203.6,39664.72,27885.14,17556.38,10.4,3.25
2015,4,2015-04-01,Sul,RS,Porto Alegre,Site próprio,Casa,Produto A,7,547.47,3832.27,2301.9,1361.16,11.7,3.47
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Site próprio,Casa,Produto D,1,789.31,789.31,559.14,224.39,14.5,3.29
2015,5,2015-05-01,Norte,AM,Manaus,Site próprio,Moda,Produto C,6,2265.65,13593.88,9707.48,4248.86,13.9,3.32
2015,5,2015-05-01,Norte,PA,Belém,Marketplace,Esporte,Produto C,5,2498.4,12492.01,9442.65,2699.65,9.5,2.76
2015,5,2015-05-01,Norte,PA,Santarém,Aplicativo,Beleza,Produto B,24,1048.19,25156.64,18932.8,6574.68,8.6,4.37
2015,5,2015-05-01,Norte,RO,Porto Velho,Marketplace,Moda,Produto B,19,738.95,14040.13,8610.8,4294.23,2.9,4.15
2015,5,2015-05-01,Norte,TO,Palmas,Marketplace,Casa,Produto D,10,1513.96,15139.62,11680.91,2940.1,7.3,4.94
2015,5,2015-05-01,Nordeste,BA,Salvador,Site próprio,Eletrônicos,Produto C,14,687.68,9627.47,5764.34,2981.49,7.9,2.81
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Marketplace,Casa,Produto B,18,1086.22,19551.96,13590.91,7165.66,13.3,2.71
2015,5,2015-05-01,Nordeste,PE,Recife,Site próprio,Moda,Produto C,27,385.75,10415.24,8430.06,2638.8,10.5,4.53
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,Site próprio,Beleza,Produto B,29,893.06,25898.84,20344.05,8902.88,4.4,4.61
2015,5,2015-05-01,Nordeste,CE,Fortaleza,Site próprio,Esporte,Produto D,27,1491.44,40268.95,23928.57,16072.29,7.5,4.31
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Aplicativo,Beleza,Produto A,23,779.19,17921.29,10682.03,7939.91,5.6,2.71
2015,5,2015-05-01,Nordeste,MA,São Luís,Marketplace,Esporte,Produto B,8,1551.39,12411.12,8271.36,2708.11,5.8,2.6
2015,5,2015-05-01,Nordeste,PB,João Pessoa,Aplicativo,Esporte,Produto B,1,610.71,610.71,406.26,241.36,6.9,3.2
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,Aplicativo,Beleza,Produto A,8,974.18,7793.41,5676.55,2485.32,14.5,3.15
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,Aplicativo,Casa,Produto A,5,1764.22,8821.11,6316.51,2033.08,14.7,2.72
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,Marketplace,Esporte,Produto C,26,55.09,1432.22,944.69,626.73,5.1,4.73
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,Marketplace,Esporte,Produto B,4,796.09,3184.37,2599.28,635.75,11.1,3.58
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Site próprio,Livros,Produto C,11,1253.64,13790.0,9664.57,3499.95,4.7,3.19
2015,5,2015-05-01,Sudeste,SP,São Paulo,Marketplace,Beleza,Produto B,27,2317.28,62566.51,36166.09,12785.62,11.8,4.25
2015,5,2015-05-01,Sudeste,SP,Campinas,Site próprio,Esporte,Produto A,10,1434.19,14341.95,9649.7,5404.75,11.8,4.86
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,Aplicativo,Eletrônicos,Produto D,29,1591.59,46156.0,37399.3,9580.2,6.6,4.2
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,Site próprio,Beleza,Produto B,8,460.76,3686.06,2573.15,677.97,5.3,3.49
2015,5,2015-05-01,Sudeste,RJ,Niterói,Site próprio,Moda,Produto D,9,2201.3,19811.66,15034.82,6340.21,3.4,4.3
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,Marketplace,Eletrônicos,Produto A,13,851.59,11070.67,7432.28,2654.15,3.2,2.7
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,Aplicativo,Eletrônicos,Produto B,9,538.87,4849.87,3651.55,1933.47,8.4,3.31
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Marketplace,Esporte,Produto D,29,2181.68,63268.77,42159.23,21682.64,14.0,3.97
2015,5,2015-05-01,Sudeste,MG,Uberlândia,Site próprio,Eletrônicos,Produto C,11,746.3,8209.33,5263.83,1878.56,8.0,3.59
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Aplicativo,Livros,Produto A,17,307.06,5220.09,4061.1,2233.36,4.3,4.85
2015,5,2015-05-01,Sudeste,ES,Vitória,Site próprio,Casa,Produto D,19,1374.02,26106.33,19897.0,7020.63,14.0,4.11
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Aplicativo,Livros,Produto B,21,324.66,6817.87,4966.34,1723.78,9.1,3.54
2015,5,2015-05-01,Sudeste,ES,Serra,Site próprio,Moda,Produto D,1,2490.75,2490.75,2012.86,540.28,5.4,3.86
2015,5,2015-05-01,Sul,PR,Curitiba,Site próprio,Beleza,Produto D,18,218.26,3928.76,2441.27,855.74,4.5,3.7
2015,5,2015-05-01,Sul,PR,Londrina,Aplicativo,Moda,Produto A,20,202.1,4042.07,3278.44,766.2,11.4,4.67
2015,5,2015-05-01,Sul,SC,Florianópolis,Aplicativo,Beleza,Produto C,11,65.78,723.58,434.85,310.6,13.0,4.79
2015,5,2015-05-01,Sul,SC,Joinville,Marketplace,Beleza,Produto A,2,2197.57,4395.14,3081.33,1939.56,6.4,3.42
2015,5,2015-05-01,Sul,RS,Porto Alegre,Marketplace,Esporte,Produto C,22,1057.11,23256.44,18659.65,8093.08,11.1,4.52
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Site próprio,Esporte,Produto D,8,1809.39,14475.11,9288.77,6101.51,11.6,2.68
2015,6,2015-06-01,Norte,AM,Manaus,Site próprio,Esporte,Produto B,3,1718.33,5154.99,3542.21,1661.22,12.9,2.77
2015,6,2015-06-01,Norte,PA,Belém,Site próprio,Beleza,Produto D,7,2193.87,15357.08,9944.04,5774.05,2.5,4.14
2015,6,2015-06-01,Norte,PA,Santarém,Aplicativo,Beleza,Produto B,19,2074.61,39417.62,31229.91,10502.01,4.5,3.83
